created_at,full_text,clean_tweet,Sentiment
2024-10-10 06:38:40+00:00,Investasi masa depan makan bergizi untuk semua #MakanSiangGratis Raline Bahlil Paes Paula SMA 70 #BikinTidurEnak 10 Okt Tampa Bay Baim https://t.co/TSAJWQ8Hpq,investasi masa depan makan gizi untuk semua makansianggratis raline bahlil paes paula sma 70 bikintidurenak 10 okt tampa bay baim,Negative
2024-10-10 15:00:08+00:00,FOKUS | VIDEO REPLAY Apa Saja Bahaya Program Makan Siang Gratis https://t.co/Ha8koL8Dve #Makansianggratis #jokowi #prabowo #gibran #fokus #tvtempo https://t.co/zY7exhp31e,fokus video replay apa ssaja bahaya program makan siang gratis makansianggratis jokowi prabowo gibran fokus tvtempo,Negative
2024-10-11 05:13:00+00:00,KKP siap mendukung program Makan Bergizi Gratis (MBG) karena program ini akan memberikan efek positif baik dari sisi peningkatan asupan protein masyarakat maupun pemberdayaan ekonomi. #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/96Ty4VTQP9,kkp siap dukung program makan gizi gratis mbg karena program ini akan beri efek positif baik dari sisi tingkat asupan protein masayaarakat ingin daya ekonomi indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positive
2024-10-11 07:42:54+00:00,Program Makan Siang Gratis Berdampak Positif pada Peningkatan Asupan Protein Anak Bangsa #MakanSiangGratis #afcmafia Ahmed Al Kaf El Klemer Sandra Dewi Jumat #GarudaMendunia Haram SMA 70 https://t.co/IcPyOwEwPP,program makan siang gratis dampak positif pada tingkat asupan protein anak bangsa makansianggratis afcmafia ahmed al kaf el klemer sandaria dewi jumat tidakrudamendunia haram sma 70,Netral
2024-10-11 10:04:58+00:00,Program Makan Siang Gratis Berdampak Positif pada Peningkatan Asupan Protein Anak Bangsa #PresidenPrabowo #MakanSiangGratis __________________________ Presiden AFC #AFCMafia Wasit Ahmed Al Kaf https://t.co/mFCpNCCFun,program makan siang gratis dampak positif pada tingkat asupan protein anak bangsa presidenprabowo makansianggratis presiden afc afcmafia wasit ahmed al kaf,Netral
2024-10-10 11:45:44+00:00,Program Makan Siang Gratis sebagai Akses Makan Bergizi bagi Anak Bangsa #PresidenPrabowo #MakanSiangGratis ________________________ #TebakSkorMW #TimnasDay #Traveloka1010TravelFest RCTI https://t.co/TDBhG5HJ0m,program makan siang gratis sebatidaki akses makan gizi bagi anak bangsa presidenprabowo makansianggratis tebakskormw timnasday traveloka1010travelfest rcti,Positive
2024-10-09 12:44:17+00:00,Program Makan Siang Gratis Membangun Generasi Emas #PresidenPrabowo #MakanSiangGratis _________________________ Kerja Nyata Jokowi #TimnasDay Baim Paula RCTI Prank https://t.co/GrTdMAWdVl,program makan siang gratis bangun generasi emas presidenprabowo makansianggratis kerja nyata jokowi timnasday baim paula rcti prank,Positive
2024-10-07 07:46:45+00:00,Wali Kota Semarang menyambut baik inisiatif dan dukungan Perkumpulan Pengadaan Jasa Boga Indonesia (PPJI) dalam menyediakan makan siang sehat dan bergizi bagi siswa #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #MakanBergiziGratis https://t.co/1oztKcPgdr,wali kota semarang sambut baik inisiatif dan dukuntidakn kumpul pentidakdaan jasa botidak indonesia ppji dalam sedia makan siang sehat dan gizi bagi siswa indonesiaemas programpresiden presidenprabowo makansianggratis makanbergizigratis,Positive
2024-10-11 20:36:35+00:00,Program Makan Siang Gratis Berdampak Positif pada Peningkatan Asupan Protein Anak Bangsa #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/PTzHSdHNY6,program makan siang gratis dampak positif pada tingkat asupan protein anak bangsa indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Netral
2024-10-10 07:28:16+00:00,#IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/AtkzoWbeNu,indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Netral
