created_at,full_text,clean_tweet,Sentiment
2024-11-02 11:26:11+00:00,@BuruhYogyakarta @mendokutsay lucu lu min. ini yg dibandingin 1rumah1sarjana sama MAKAN SIANG GRATIS. perbaikan sd-sma bisa dilakukan sembari semua program tadi dilakukan. dan fakta kalau 1rumah1sarjana bakal membawa perubahan ga mesti soal ekonomi. knp pemikiran lu hitam putih gini sih? kocak,kamucu kamu min ini yang dibandingin 1rumah1sarjana sama makan siang gratis baik sd sma bisa laku sembari semua program tadi laku dan fakta kalau 1rumah1sarjana bakal bawa ubah tidak mesti soal ekonomi knp pikir kamu hitam putih gin kocak,Negative
2024-10-29 03:35:49+00:00,1. SobaTani program makan bergizi gratis menjadi salah satu program strategis pemerintah di bawah kepemimpinan Presiden Prabowo Subianto @prabowo Program makan bergizi menjadi salah satu langkah untuk kebangkitan bangsa Indonesia menjadi negara maju dan sejahtera. https://t.co/zyqQ90LAad,1 sobatani program makan gizi gratis jadi salah satu program strategis perintah di bawah pimpin presiden prabowo subianto program makan gizi jadi salah satu langkah untuk bangkit bangsa indonesia jadi netidakra maju dan sejahtera,Positive
2024-11-01 05:19:32+00:00,Para mahluk gaib gimana pilot program makan siang gratis dr GAIB? Mau di lanjutkan?,para mahkamuk tidakib gimana pilot program makan siang gratis dari tidakib ingin di lanjut,Positive
2024-10-30 14:13:06+00:00,Salah satu alasan program makan siang gratis akan dikaji ulang oleh Pemerintah: https://t.co/rS5up4rJ3a,salah satu alas program makan siang gratis akan kaji ulang oleh perintah,Positive
2024-10-28 08:10:13+00:00,Berikut ini program-program tidak mendidik yang dijanjikan pada momen Pilpres/Pilkada yang (celakanya) disuka pemilih: - BLT/Bansos - Raskin - Sarapan gratis - Makan siang gratis - Subsidi BBM - Tiap Desa dapat uang tunai - Tiap RW dapat uang tunai - Tiap RT dapat uang tunai -,ikut ini program program tidak didik yang janji pada momen pilpres pilkada yang celaka suka pilih blt bansos raskin sarap gratis makan siang gratis subsidi bbm tiap desa dapat uang tunai tiap rw dapat uang tunai tiapdapat uang tunai,Negative
2024-11-02 04:35:01+00:00,@bacottetangga__ Emang sengaja dimatikan biar import susu terus.. Dan tau kan siapa pemilih perush yg import susu tersebut? Apalagi kebutuhan susu utk program makan siang gratis sangat besar.. Jadi selamat dirampok penguasa sendiri ,emang sentidakja mati biar import susu terus dan tau kan siapa pilih perush yang import susu sebut apalagi butuh susu utk program makan siang gratis santidakt besar jadi selamat rampok kuasa sendiri,Negative
2024-11-03 18:02:40+00:00,lance lu sungkem minta maaf sama mekanik lu kasih bonus pesenin tiket buat liburan kasih program makan siang gratis sekolahin anaknya berangkatin umroh,lance kamu sungkem minta maaf sama mekanik kamu ka bonus senin tiket buat libur ka program makan siang gratis sekolahin anak berangkatin umroh,Positive
2024-10-29 08:18:52+00:00,@ainunnajib Dr makanan ada ditanggung pemerintah dr sarapan sampe makan malam? Program yg gratis cuma makan siang itu jg rawan dikorupsi. Dr yg 15 rebu bisa2 nyampe ke anak cuma air mineral.,dari makan ada tanggung perintah dari sarap sampe makan malam program yang gratis cuma makan siang itu jg rawan korupsi dari yang 15 rebu bisa2 nyampe ke anak cuma air mineral,Negative
2024-10-31 09:03:59+00:00,Hasil program Makan Siang Gratis tapi dari Boga Group. https://t.co/UEl3K1D8pM,hasil program makan siang gratis tapi dari botidak group,Positive
2024-11-02 07:10:50+00:00,egk butuh makan siang gratis tp butuh program satu rumah satu sungjin https://t.co/3Cu23CXUaP,egk butuh makan siang gratis tapi butuh program satu rumah satu sungjin,Netral
