created_at,full_text,clean_tweet,Sentiment
2024-09-29 14:12:58+00:00,Kebijakan makan siang gratis Prabowo-Gibran memiliki potensi besar untuk menggerakkan ekonomi Indonesia dan meningkatkan kesejahteraan masyarakat. #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/Cl0gs9QGiK,bijak makan siang gratis prabowo gibran milik potensi gerak ekonomi indonesia tingkat sejahtera masyarakat indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 13:07:29+00:00,Dengan Rp 71 triliun program makan siang gratis dorong kesejahteraan petani lokal! #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/fY0G8GGQiY,rupiah 71 triliun program makan siang gratis dorong sejahtera tani lokal indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 13:07:18+00:00,Program ini bukan hanya soal gizi anak-anak tapi juga pemberdayaan petani dan peternak! #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/IJO6OPVAzK,program gizi anak anak daya tani ternak indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 13:07:11+00:00,Makan siang gratis untuk anak-anak manfaat bahan pangan lokal untuk ekonomi yang lebih kuat! #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/p7VSdGXBnS,makan siang gratis anak anak manfaat bahan pangan lokal ekonomi kuat indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 13:07:03+00:00,Program Makan Siang Gratis Prabowo-Gibran gerakkan ekonomi lokal dan tingkatkan kesejahteraan! #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/r4Ds6TgQ8a,program makan siang gratis prabowo gibran gerak ekonomi lokal tingkat sejahtera indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 10:29:57+00:00,Program Makan Siang Gratis Manfaatkan Bahan Pangan Lokal#IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/5QAgZ4UcA8,program makan siang gratis manfaat bahan pangan lokal indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 09:23:26+00:00,Program Makan Siang Gratis Prabowo Manfaatkan Bahan Pangan Lokal #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/u2PpfG57bg,program makan siang gratis prabowo manfaat bahan pangan lokal indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 08:21:31+00:00,Makan Siang Gratis Untuk Masa Depan Indonesia Mendorong Ekonomi Lokal #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/5okgY7urDp,makan siang gratis indonesia dorong ekonomi lokal indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 08:21:04+00:00,Mendorong Ekonomi Lokal #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/4JqgDawe92,dorong ekonomi lokal indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Netral
2024-09-29 08:20:31+00:00,Optimalkan Bahan Pangan Lokal #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/4yJ6wLgRKV,optimal bahan pangan lokal indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 08:13:29+00:00,Kebijakan makan siang gratis Prabowo-Gibran hadir untuk memperbaiki gizi anak sekaligus memberdayakan petani lokal menciptakan rantai pasok yang kuat bagi ekonomi nasional #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/wSijCebAna,bijak makan siang gratis prabowo gibran hadir baik gizi anak daya tani lokal cipta rantai pasok kuat ekonomi nasional indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 08:13:10+00:00,Program makan siang gratis Prabowo-Gibran dukung kemandirian pangan nasional! Optimalisasi hasil pertanian lokal akan memperkuat ekonomi dan kesejahteraan masyarakat #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/Bi6hoOqnJi,program makan siang gratis prabowo gibran dukung mandiri pangan nasional optimalisasi hasil tani lokal kuat ekonomi sejahtera masyarakat indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 08:12:47+00:00,Dengan memanfaatkan bahan pangan lokal program makan siang gratis Prabowo-Gibran mendorong ekonomi desa dan meningkatkan kualitas hidup masyarakat Indonesia #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/Riv9baKbmg,manfaat bahan pangan lokal program makan siang gratis prabowo gibran dorong ekonomi desa tingkat kualitas hidup masyarakat indonesia indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 08:12:26+00:00,Kebijakan makan siang gratis ini bukan hanya soal gizi anak tetapi juga tentang kemandirian ekonomi dengan memberdayakan petani lokal dan mengoptimalkan hasil pangan nasional #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/CQDs39KspR,bijak makan siang gratis gizi anak mandiri ekonomi daya tani lokal optimal hasil pangan nasional indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 07:16:24+00:00,Kebijakan makan siang gratis Prabowo-Gibran memiliki potensi besar untuk menggerakkan ekonomi Indonesia dan meningkatkan kesejahteraan masyarakat. #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/vH1CxrHe8f,bijak makan siang gratis prabowo gibran milik potensi gerak ekonomi indonesia tingkat sejahtera masyarakat presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 07:14:51+00:00,Berdayakan petani dan peternak lokal melalui penyediaan bahan pangan untuk program makan siang gratis #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/80c9suZE6H,daya tani ternak lokal sedia bahan pangan program makan siang gratis indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 07:14:50+00:00,Kebijakan makan siang gratis Prabowo-Gibran memiliki potensi besar untuk menggerakkan ekonomi #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/tUctquVL7n,bijak makan siang gratis prabowo gibran milik potensi gerak ekonomi indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 06:59:31+00:00,Kebijakan ini dapat menciptakan rantai pasok yang kuat mendorong kemandirian ekonomi dan membawa dampak positif jangka panjang bagi kesejahteraan masyarakat. #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/BM31BDU1IO,bijak cipta rantai pasok kuat dorong mandiri ekonomi bawa dampak positif jangka sejahtera masyarakat indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 06:43:25+00:00,PROGRAM Hebat Tingkatkan Gizi Anak Bangsa #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/Ouj6hMY9Ao,program hebat tingkat gizi anak bangsa indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 06:42:42+00:00,Kementerian Pertanian mendukung dengan mengoptimalkan hasil pertanian nasional. #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/4OP518vwxz,menteri tani dukung optimal hasil tani nasional indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 06:42:37+00:00,program ini bukan hanya upaya meningkatkan gizi anak-anak tetapi juga memberdayakan petani dan peternak lokal melalui penyediaan bahan pangan. #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/1FaM7uy7t9,program upaya tingkat gizi anak anak daya tani ternak lokal sedia bahan pangan indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 06:37:31+00:00,Kebijakan makan siang gratis Prabowo-Gibran memiliki potensi besar untuk menggerakkan ekonomi Indonesia #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/64xnToCeJ6,bijak makan siang gratis prabowo gibran milik potensi gerak ekonomi indonesia indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 06:36:18+00:00,MAKAN SIANG GRATIS UNTUK MASA DEPAN INDONESIA #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/ayvZdFFon6,makan siang gratis indonesia indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 06:36:10+00:00,Optimalkan Bahan Pangan Lokal Kementerian Pertanian mendukung penuh program makan siang gratis dengan bahan pangan lokal berkualitas. - Sudaryono Wakil Menteri Pertanian #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/LaD0BQanxZ,optimal bahan pangan lokal menteri tani dukung penuh program makan siang gratis bahan pangan lokal kualitas sudaryono wakil menteri tani indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 06:04:54+00:00,Kebijakan makan siang gratis Prabowo-Gibran memiliki potensi besar untuk menggerakkan ekonomi Indonesia dan meningkatkan kesejahteraan masyarakat. Dengan #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/1WC2uhJPRn,bijak makan siang gratis prabowo gibran milik potensi gerak ekonomi indonesia tingkat sejahtera masyarakat indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 02:58:19+00:00,Dukung program makan siang gratis #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/TO4e8SCwCV,dukung program makan siang gratis indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-09-29 00:08:15+00:00,melainkan fokus pada pendampingan dan pemberdayaan mustahik. #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/lLkbgkn6uk,fokus damping daya mustahik indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 00:07:19+00:00,BAZNAS juga menegaskan bahwa dukungan ini tidak bertujuan untuk mengambil keuntungan #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/by1mWTdkJb,baznas dukung tuju ambil untung indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-09-29 00:06:10+00:00,program ini dapat membantu mengatasi masalah gizi serta mendorong pemberdayaan ekonomi masyarakat di pedesaan. #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/wqv2QoMtax,program bantu atas gizi dorong daya ekonomi masyarakat desa indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
