created_at,full_text,clean_tweet,Sentiment
2024-10-24 04:24:18+00:00,ANTARA - Presiden Prabowo Subianto menyebut masih ada pihak yang meragukan jalannya program makan bergizi gratis. (Yogi Rachman/Yovita Amalia/Farah Khadija) Grafis: Rachmad Janatul Pirdaus #presiden #presidenri #prabowo #prabowosubianto #makansianggratis #makanbergizigratis https://t.co/PlWWLJOYoU,presiden prabowo subianto sebut ragu jalan program makan gizi gratis yogi rachman yovita amalia farah khadija grafis rachmad janatul pirdaus presiden presidenri prabowo prabowosubianto makansianggratis makanbergizigratis,Positif
2024-10-24 04:08:26+00:00,24 Oktober 2024 H+4 pelantikan Masih belum #makansianggratis,24 oktober 2024 h 4 lantik makansianggratis,Positif
2024-10-24 02:14:09+00:00,Sumber video: Sekretariat Presiden #presidenprabowo #prabowo #prabowosubianto #makansianggratis #makansiang #makansiangbergizi #sidangkabinet #makanbergizi,sumber video sekretariat presiden presidenprabowo prabowo prabowosubianto makansianggratis makansiang makansiangbergizi sidangkabinet makanbergizi,Positif
2024-10-23 10:00:20+00:00,23 Oktober 2024 H+3 Pelantikan Masih belum #makansianggratis,23 oktober 2024 h 3 lantik makansianggratis,Positif
2024-10-22 13:40:09+00:00,@irenepl1_ Done cantik! Kirain #makansianggratis awokwokwok,done cantik kirain makansianggratis awokwokwok,Negatif
2024-10-22 13:31:03+00:00,Pj Gubernur DKI Jakarta bersama Wakil Presiden RI Gibran Rakabuming Raka meninjau pelaksanaan uji coba Makan Bergizi Gratis (MBG) di SDN 03 Menteng Jakarta Pusat. https://t.co/ADSXdZh0Yh #suaramerdeka #suaramerdekacom #pemprovdkijakarta #makangratis #makansianggratis #gibran https://t.co/R9owkEtIp6,pj gubernur dki jakarta wakil presiden ri gibran rakabuming raka tinjau laksana uji coba makan gizi gratis mbg sdn 03 menteng jakarta pusat suaramerdeka suaramerdekacom pemprovdkijakarta makangratis makansianggratis gibran,Positif
2024-10-22 04:45:43+00:00,22 Oktober 2024 H+2 pelantikan Masih belum #makansianggratis,22 oktober 2024 h 2 lantik makansianggratis,Positif
2024-10-22 03:17:42+00:00,Program ini membantu mencegah masalah gizi dan stunting di kalangan anak-anak! #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/LRtDTqQc4r,program bantu cegah gizi stunting kalang anak anak indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-10-22 03:17:33+00:00,Satu kali makan bergizi lebih baik daripada tidak sama sekali mari dukung program ini! #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/yknsrjhJQ4,kali makan gizi mari dukung program indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
2024-10-22 03:17:23+00:00,Frekuensi makan tiga kali sehari dukung pertumbuhan optimal bagi anak-anak! #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/0abnc8n7dD,frekuensi makan kali hari dukung tumbuh optimal anak anak indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Negatif
2024-10-22 03:17:12+00:00,Makanan bergizi dengan karbohidrat protein dan lemak baik adalah kunci kesehatan! #IndonesiaEmas #ProgramPresiden #PresidenPrabowo #MakanSiangGratis #KesehatanGratisUntukSemua https://t.co/WiFCmM92Vy,makan gizi karbohidrat protein lemak kunci sehat indonesiaemas programpresiden presidenprabowo makansianggratis kesehatangratisuntuksemua,Positif
